"PrePost","DATE_ACQUIRED","Trat_1","snow_sum","total","pixel_number","porcentaje"
"Pre-fire","1999-11-17","NI",151,422,151,100
"Pre-fire","1999-11-17","PCL",157,422,212,74.0566037735849
"Pre-fire","1999-11-17","SL",57,422,59,96.6101694915254
"Pre-fire","1999-11-25","NI",139,422,151,92.0529801324503
"Pre-fire","1999-11-25","PCL",163,422,212,76.8867924528302
"Pre-fire","1999-11-25","SL",50,422,59,84.7457627118644
"Pre-fire","1999-12-03","NI",4,422,151,2.64900662251656
"Pre-fire","1999-12-03","PCL",0,422,212,0
"Pre-fire","1999-12-03","SL",0,422,59,0
"Pre-fire","2000-01-20","NI",137,422,151,90.728476821192
"Pre-fire","2000-01-20","PCL",163,422,212,76.8867924528302
"Pre-fire","2000-01-20","SL",55,422,59,93.2203389830508
"Pre-fire","2000-01-28","NI",97,422,151,64.2384105960265
"Pre-fire","2000-01-28","PCL",49,422,212,23.1132075471698
"Pre-fire","2000-01-28","SL",17,422,59,28.8135593220339
"Pre-fire","2000-08-23","NI",151,422,151,100
"Pre-fire","2000-08-23","PCL",212,422,212,100
"Pre-fire","2000-08-23","SL",59,422,59,100
"Pre-fire","2001-01-14","NI",133,422,151,88.0794701986755
"Pre-fire","2001-01-14","PCL",119,422,212,56.1320754716981
"Pre-fire","2001-01-14","SL",56,422,59,94.9152542372881
"Pre-fire","2001-02-07","NI",89,422,151,58.9403973509934
"Pre-fire","2001-02-07","PCL",66,422,212,31.1320754716981
"Pre-fire","2001-02-07","SL",12,422,59,20.3389830508475
"Pre-fire","2002-03-22","NI",50,422,151,33.112582781457
"Pre-fire","2002-03-22","PCL",6,422,212,2.83018867924528
"Pre-fire","2002-03-22","SL",9,422,59,15.2542372881356
"Pre-fire","2002-11-25","NI",151,422,151,100
"Pre-fire","2002-11-25","PCL",212,422,212,100
"Pre-fire","2002-11-25","SL",59,422,59,100
"Pre-fire","2003-01-12","NI",111,422,151,73.5099337748344
"Pre-fire","2003-01-12","PCL",94,422,212,44.3396226415094
"Pre-fire","2003-01-12","SL",45,422,59,76.271186440678
"Pre-fire","2003-03-01","NI",144,422,151,95.364238410596
"Pre-fire","2003-03-01","PCL",199,422,212,93.8679245283019
"Pre-fire","2003-03-01","SL",55,422,59,93.2203389830508
"Pre-fire","2004-12-24","NI",39,422,151,25.8278145695364
"Pre-fire","2004-12-24","PCL",4,422,212,1.88679245283019
"Pre-fire","2004-12-24","SL",9,422,59,15.2542372881356
"Pre-fire","2005-02-26","NI",71,422,151,47.0198675496689
"Pre-fire","2005-02-26","PCL",49,422,212,23.1132075471698
"Pre-fire","2005-02-26","SL",19,422,59,32.2033898305085
