system:index,DATE_ACQUIRED,NDSI_mean,SPACECRAFT_ID,Trat_1,polygon_id,.geo
00000000000000000081_1_1_LT05_200034_19840523,1984-05-23,0.6964340219754867,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19840608,1984-06-08,-0.0025431827047204293,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19850102,1985-01-02,-0.18439798476380537,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19850118,1985-01-18,0.3806003520912903,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19850219,1985-02-19,-0.1800558858349514,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19850307,1985-03-07,-0.20783601598619975,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19860121,1986-01-21,0.3676128937076722,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19860222,1986-02-22,0.3026485437403015,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19860310,1986-03-10,0.3291295810455961,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19860326,1986-03-26,-0.23946038572802253,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19860411,1986-04-11,0.5096585730874623,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19860427,1986-04-27,0.4442824851157694,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19860513,1986-05-13,0.5614769532240388,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19861004,1986-10-04,0.15743789303033168,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19861207,1986-12-07,0.3011713997080747,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19870124,1987-01-24,0.2387200703185877,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19870209,1987-02-09,0.9070056855781089,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
