"Satellite","ID_Scene","Date"
"LANDSAT_5","LT05_200034_19991125",1999-11-25
"LANDSAT_5","LT05_200034_19991211",1999-12-11
"LANDSAT_5","LT05_200034_20000128",2000-01-28
"LANDSAT_5","LT05_200034_20000823",2000-08-23
"LANDSAT_5","LT05_200034_20010114",2001-01-14
"LANDSAT_5","LT05_200034_20010319",2001-03-19
"LANDSAT_5","LT05_200034_20020322",2002-03-22
"LANDSAT_5","LT05_200034_20040123",2004-01-23
"LANDSAT_5","LT05_200034_20040311",2004-03-11
"LANDSAT_5","LT05_200034_20041224",2004-12-24
"LANDSAT_5","LT05_200034_20050125",2005-01-25
"LANDSAT_5","LT05_200034_20050226",2005-02-26
"LANDSAT_5","LT05_200034_20060213",2006-02-13
"LANDSAT_5","LT05_200034_20061230",2006-12-30
"LANDSAT_5","LT05_200034_20080322",2008-03-22
"LANDSAT_5","LT05_200034_20080423",2008-04-23
"LANDSAT_5","LT05_200034_20090309",2009-03-09
"LANDSAT_5","LT05_200034_20090325",2009-03-25
"LANDSAT_5","LT05_200034_20090512",2009-05-12
"LANDSAT_5","LT05_200034_20090528",2009-05-28
"LANDSAT_5","LT05_200034_20090917",2009-09-17
"LANDSAT_5","LT05_200034_20091206",2009-12-06
"LANDSAT_5","LT05_200034_20100515",2010-05-15
"LANDSAT_5","LT05_200034_20110110",2011-01-10
"LANDSAT_5","LT05_200034_20110211",2011-02-11
"LANDSAT_5","LT05_200034_20110227",2011-02-27
"LANDSAT_5","LT05_200034_20110331",2011-03-31
"LANDSAT_5","LT05_200034_20111110",2011-11-10
"LANDSAT_7","LE07_200034_19991117",1999-11-17
"LANDSAT_7","LE07_200034_19991203",1999-12-03
"LANDSAT_7","LE07_200034_20000120",2000-01-20
"LANDSAT_7","LE07_200034_20000205",2000-02-05
"LANDSAT_7","LE07_200034_20001119",2000-11-19
"LANDSAT_7","LE07_200034_20010207",2001-02-07
"LANDSAT_7","LE07_200034_20010311",2001-03-11
"LANDSAT_7","LE07_200034_20021125",2002-11-25
"LANDSAT_7","LE07_200034_20030112",2003-01-12
"LANDSAT_7","LE07_200034_20030128",2003-01-28
"LANDSAT_7","LE07_200034_20030301",2003-03-01
